docID,review,defined sentiment
doc1,everi movi come truli make impact joaquin perform scenographi brillianc grotesqu haunt cringi hard watch time mesmer wont blink eye watch tragic serious funni moment emot rollercoast sometim multipl emot poppingup timethi far typic actionriddl predict superhero movi proper psycholog thrillerdrama singl best charact develop ever seen, positive
doc2,movi felt alon isol truli relat understand motiv feel sorri charact lot peopl see movi think encourag violenc truli movi encourag everi one u becom better person treat everyon respect make feel like belong world instead make feel isol, positive
doc3,truli masterpiec best hollywood film 2019 one best film decad truli best film bring comic book chillingli realist real ife remark direct cinematographi music act peopl surpris find disturb violent necess messag societi reflect underappreciatedunrecognizedbulli peopl prove someth way show class differ corrupt rich talent rule other around exagger that make differ believ could multipl joker live societi could shake around much bitter way film show make peopl uncomfort peopl consid wake call messag first film perfect film, positive
doc4,time movi anticip like end fall short way short joker first time happi hype plea ignor complaint pernici violenc embarrass say least havent seen comic movi real ever deserv better class crimin phillip phoenix deliv dark joker dark fall love villain bad guy alway romant anyway, positive
doc5,joaquin phoenix give tour de forc perform fearless stun emot depth physic imposs talk without referenc heath ledger oscarwin perform dark knight wide consid definit liveact portray joker let talk fact everyon go stun phoenix accomplish mani thought imposs portray match potenti exce dark knight clown princ crime, positive
doc6,let start say joaquin phoneix doesnt get oscar movi oscar cancel phoneix amaz mightv heard everi review ever todd phillip best stori line take visual breathtak score omg score everi time score came felt uncomfort like someth horribl happen great inspir taxi driver king comedi add much movi got honest scene violent disturb honestli expect wayyyi violent controversi go overal movi great come oscar season need nomin best pictur screenplay cinematographi actor score director, positive
doc7,get peopl hate polit messag peopl think need get empathi arthur mad come point never enjoy masterpiec joaquin phoenix todd phillip overdid movi actingmus cinematographi amaz plea enjoy movi without overthink, positive
doc8,seen joker yesterday venic earli illfat screen troubl audio lead nearhour delay definit worth itjok deserv present venic film festiv event regard cinema form art film far blockbust mere entertain movi film genr areit focus psych main charact slowli crumbl pressur societi thu joaquin phoenix wonder perform earn almost sure nomin oscar least take joker differ ledger id say equal good main differ might ledger joker ration act insan phoenix insan rootdespit movi superhero villain joker much superior movi genr id exclud dark knight trilog joker easili good nolan movi least close smallscal film distinct style cinematographi cannot appreci set cinephil refer howev feel forc overli opress notabl similar scorses taxi driver king comedi also chaplin modern time somewhat referencedi eager see noncomed effort todd phillip movi far probabl best 2019 worst contest far dolor gloria upon time hollywood convinc, positive
doc9,sad joaquin miss oscar gladiat compel villain quit confid win joker damn movi keep u toe time unpredict storylin realli deep interest plot forget mention act damn niro joaquin teach u realli 5 star act enjoy movi get wine hand close curtain turn ur cellphon put disturb sign ur door best dark thriller suspens movi get experi, positive
doc10,movi answer questionwhat joker real life charact great deep move stori life journey man who suffer psycholog issu neglect bulli rude human push man complet madnessalthough accur comic book adapt tv seri movi yet fresh uniqu take charact clown princ crime realist approach believ joaquin phoenix amaz perform joker manag bring real life lookalik earli version joker although comic book accur feel decent foundat joker 2 true heart origin version lovabl villainth movi great piec filmmak aspect plot interest believ mani relat act impress splendid direct outstand main take movi lack posit lead charact know live tough world full neg posit exampl shed light one two charact movi wouldv nice posit thoughtth joker movi misunderstood mani think itll inspir crime violenc believ contrari mani go hard life feel sympathi joker charact other even relat miseri may justifi action believ movi meant wake call mani lot peopl daili suffer bulli racism hate crime neglect sometim go wors take deeper look action know asid money author equal human treat one anoth way expect treat, positive
doc11,watch joker venic say joaquin doesnt get oscar year someth wrong world perfom jawdrop glue screen doesnt let go till end stori good interest connect batman loreespeci one cant guess trailer scene ten wellact imagin push movi 10 cinematographi direct great todd proven director robert also good small role definit see soon octob, positive
doc12,movi caus audienc consid mani topic moral particularli poor choic made joker joker relat movi antagonist usual think give realist view bad peopl usual 100 bad way societi often judg import know sympath joker toward begin movi need identifi threat begin make certain bad choic movi suitabl adult will pick apart think critic isnt light amus substanc make goodif arent abl ponder underli theme hand thought isnt best movi, neutral
doc13,act cinematographi sound design script phenomen movi triumph joaquin pheonix deserv oscar win tbh, positive
doc14,movi affect way make physic pain experi good way, positive
doc15,stop watch movi joaquin phoenix award oscar tremend act, positive
doc16,quit reli critic review year ago notic movi critic rate low viewer rate high said point critic movi oh wrong went saw tonit mom went skeptic w low expect knew expect typic super hero movi got masterpiec went expect sheer boredom instead edg seat whole time action edg seat fear may say next edg seat see charact evolv know 1 villain batman beyond geniu joaquin phoenix true master perfect art consum charact may place dont care movi stori act direct effect everyon brought game jp definit deserv nod win role comparison jack nicholson heath ledger actor took charact differ level differ stori point differ point time comparison would feasibl fair actor embrac made come life geniu way, positive
doc17,need say everyth movi master everi singl way joker isnt awesom comic book movi awesom movi period offer easi answer unsettl question rais cruel societi declin joaquin phoenix fulli commit perform todd phillip master albeit loo reinvent dc sourc materi make joker film leav comic book fan nonfan alik disturb move right way, positive
doc18,doubt movi well thought plot execut must prais phoenix superb act manag portray believ awkward social reject also crazi murder becam realli think role could also interest watch deterior mental littl littl gave tri fit societi gotta hand script writer plot unpredictablebutther wasnt anyth complex arthur mental state deep psycholog analysi web mani deep factor creat one kind psychot maniac could expect much possibl sinc came high expect read review doesnt anyth expect end didnt remind much origin joker felt like simpli societi reject went complet crazi start kill peopl much differ mani serial killer mass murder didnt master mind much design joker made differ simpl murder anoth thing long part movi felt dull also found hard buy reason behind riot citi role joker play even taken account poverti anger cook long time societi still feel somewhat absurd kill three peopl subway made joker notori conclus identifi charact gave last impress movi movi could great movi person that reject societi turn slowli serial killer movi joker felt lack lack thing made joker actual joker anoth crazi murder, negative
doc19,joaquin phoenix joker phoenix gave perform felt like mixtur heath ledger joker jack nicholson joker alex clockwork orangeoveral movi trip say least cinematographi good soundtrack set perfect mood film part act plot sold though phoenix made forget charact one seen movi perform mix overal feel plot movi made leav theater feel like taken descent madness never big fan superhero movi littl weari go movi absolut noth anyth superhero relat charact love movi definit see hope would, positive
doc20,joker direct todd philip star joaquin phoenix arthur fleck man disregard thrown societyw live era formula comic book movi common joker prove make comic book movi without villain also prove comic book movi use psycholog studi reflect societi view treat mental health issu certain individualsif describ joaquin phoenix joker one word would mesmeris take icon comic book charact fill emot depth point almost pain watch flawlessli realist make one best perform decadeth cinematographi also someth note full gorgeou shot beauti colour palett make shot composit structur heavili differ comic book filmsth score minimalist everi time come feel unsettl haunt add suspens storymi biggest issu joker inspir scorses king comedi taxi driver make major film predict howev make predict didnt take away much qualiti made unsettl see degrad joker mind happen make film depressingi wouldnt realli call joker comic book movi ye base comic book depict arguabl icon comic book charact time stand alon among dozen predecessor psycholog drama reflect societi issu rather fantasi worldoveral joker brilliant take charact howev faint heart narrowmind prejud peoplefin grade 910, positive
doc21,realli understand ten sure good movi good act nice shoot plot intrigu time realli long somewhat bore need doublecheck genr see drama crime drama thriller said would put mayb 90 drama rest thrilleri miss dialogu depth substanc plot realli somewhat crazi person becom bit crazier sure underton societi system mean charact peopl bring creat evil beast later want destroy everyth absolut think intrigu stori plot dialogu enough give tenworthi watch ye amaz, positive
doc22,thought film good dont get hype person act amaz film good overal think masterpiec film year bit overus throughout review way dislik film thought realli good overhyp feel though lot 1010 review pure base fact alreadi amaz review peopl want carri prais joker film releas random guy situat dont think review would high mayb that point, negative
doc23,went film expect alltim classic base review read end watch decent film overal phoenix outstandingso definit part feel like youv seen trailer youv seen movi best way describ film feel like 2 hour version trailer 2 hour rel common runtim felt lot longerwhich isnt good id say much rental theater movi kinda justeh, neutral
doc24,joaquin phoenix give heath ledger run money true stori popcorn fluff comic book flick take kid see movi shut ballot oscar joaquin take one home hand one best origin stori ever put downsid movi stand alon film sequel tie dc univers todd philip take joker one pure brillianc joaquin phoenix joker deserv didnt steal jack heath yet got tast, positive
doc25,movi masterpiec absolut epitom dc movi dark emot thought provok action action action one best movi ive seen long timecrit definit lost touch public ignor one favor watch itand rememb good one anoth dont know someon el go, positive
doc26,dont understand high rate went cinema high expect discov movi slow anyth almost finish first kill happen dread time wait someth happen ye movi finish final walk got cosmic joke joker trust review leav disappoint disbelief actual paid watch, negative
doc27,dc still give u compel movi wasnt quit hype mean origin stori villain made director hangov movi could even expect review start drop still wasnt sure would like saw way better thought would wont call masterpiec definit top 3 dc film timesgood there hardli anyth bad joker joaquin phoenix great job bring charact life rather typic superherosupervillain origin stori get see psycholog drama horror thank god got love genr love film like infin war day futur past endgam raimi spiderman occasion realli good take break film kind categori film like unbreak basic movi spoiler ahead arthur torment societi mental unstabl loner lose mind constant torment hell break loo that movi show would quit difficult give realli good stori plot like sinc mani movi kind plot aw crappi one includ complet like movi mean screenplay direct work feel arthur whenev movi ask want root arthur know mean incred terribl thing happen see slowli transit joker complet turn joker worth round applaus feel good well terrifi action joker whenev snap crazi stuff happen without get spoiler would say short mani quotabl line make sen whatev joker psychopath say realist sane person say obvious sick terrifi gruesom joker moment proper joker movi clear trailer there batman spoiler batman refer support movi couldv creat mess might felt like shoehorn plotlin play proper support main stori transit arthur jokermix good thing movi 70 psycho horror vibe couldv origin like mani other point similar taxi driver scorses wasnt copi past taxi driver part make obviou movi inspir taxi driver necessarili bad thing movi element homageish way look well made couldv slightli origin may feel bit slow peopl though worth timemi take controversi happen moron might watch film caus violenc happen violent movi even though justifi joker action doesnt show right speak violenc psycholog compel horror le violent deadpool feel violent seriou movi glorif side psychopath complet total nonsenseconclus must watch dont need follow dc movi understand expect typic superhero action film cgi battl spectacl wrong expect might ruin experi el found better dark knight rise tdkr one favorit genr nolan movi replac anoth movi list may consid great one last thing peopl caus violenc joker would equival good bad ugli inspir three peopl gun duel goldratingscor 1010grade, positive
doc28,disappoint drag wait thing explod dont get hype everybodi call masterpiec nobodi tell masterpiec movi societi creat killer done poorli felt like larg number scene without real stori, negative
doc29,im keep short movi sucksy know there need build charact crap think import good moviesam goe get joker troubl man get frustrat dont need 2 hour movi tell crap againg guy oscar perform throw movi trash right, negative
doc30,never left review titl good bad piec garbag regist imdb account vent opinion want 2 hour life back, positive
doc31,film mental ill specif mental ill call creativ diarrhoea film band hollywood insipid produc writer director riffraff suffer ailment got togeth group therapi session therapist hollywood mogul let gather refus flog hundr million dollarsseri though sooo much wrong movi wont even start knew joker sob stori hope artist success went went see anyway ill start point review observ even joker he suav he witti lethal gimmick morbid joke anarch isnt crimin mastermind he loser goe school shooter streaksecondli said earlier film mental ill mockeri cash increas awar mental health one concept psychosi mental health problem judici explor movi ill caus suffer laugh inappropri situat serious your get downtrodden loner subject beat injustic design spark indign viewer go murder spreewith regard muchprais act mysteri anyon could come judgement phoenix theatric achiev base asinin script cant devot iota attent posit review im fairli confid largescal review rig go onth plot one dimension juvenil dialogu engag monoton nurseri rhyme charact develop shallow goof left right centr like revolv zero recoil 8 bullet arthur keep danc need see arthur fondl emaci much smoke watch mani closeup cigarett burn make wonder film sponsor tobacco industryth two posit movi firstli final talk show scene litter though imperfect like rest movi sit littl le slouch seat also interest theori present tie joker batmanwith bar set high dark knight director seek artist acclaim go near joker mani year come mayb ever hand joker charact render boon hollywood opportunist second time weve seen charact butcher low effort high budget money maker one forgotten quick dont know long joker recov, neutral
doc32,movi excel amaz begin joaquin person seen evolv joker end joker difficult charact think joaquin, positive
doc33,dont wast 2 hour life movi baddest ive seen long time crappi write good storylineit bore went pay counter ask money back 2 hour torturethey cant peopl like peopl 1010the reason went your joke, negative
doc34,,
doc35,best act stori oscar win movi, positive
doc36,realiti far fiction what made movi oscar winner actor made new joker rivalri heath ledger joker better joker peopl opinion piec art, positive
doc37,joker masterpiec flawless board boast mire decent origin albeit heavyhand sin choppi flow poor direct decis moment part brilliant part wildli overact phoenix part heavi hand natur mental ill written well highlght mani differ ill none feel whole handl much sen understand sprinkl lightheart moment remind hey he still funni time strain mental ill angl difficult laugh moment without bit introspect your laugh real danger movi pose anoth hollywood blunder mental health handl way harm goodther great existenti pander s say deep feel superhero movi charact studi regardless anyon want categor ill consid gener 3, neutral
doc38,sat slowwwwww movi would gladli left half way bore movi last 5 minut overhyp usualth violenc must cut version seen think seen gore disney movi, negative
doc39,look forward film given hype brilliant act etc yet let downth film real storylin past present although act brilliant real troubl understand plot oneon star actor, negative
doc40,writerdirector todd phillipss new movi joker appeal multipl level primarili offer engag stori strongli root believ realiti relat audienc mainli oppos protagonist preval dark depress mood use often optimist soundtrack sound edit shallow nonetheless rich visual angl frame theatric augment express costum prop set impress via great princip perform act choic made joaquin phoenix lead titl charact proper fiction name arthur fleck whose sudden uncontrol seemingli inappropri laughter justifi medic condit easili counterpoint pain need outcri gotham read citi mass hurt depriv injustic quotidian exist well robert de niro quintessenti support role tvcomedi show host murray franklin worthi endoftheyear act award consider set believ precours futur adventur realist dc comic charact batman superhero extraordinari capabl rather result physic fit skill combin high technolog employ appear young boy whose later adult activ could understood larg driven happen parent final scene movi event directli inspir action joker henceforth futur main nemes, positive
doc41,perform joaquin excel stori simpli dont anyth joker mentali ill man struggl chaotic enviro overwhelm snap would much better film titl arthur clown fact forc relat batman univers feld didnt work, neutral
doc42,batman fan particularli fond joaquin phoenix movi truli except start slow built viscer satisfi crescendo never thought would root joker found throughout movi joker pain palpabl fill oscar pool card right nowp movi dark violent decidedli super hero movi leav kid home, positive
doc43,movi poorli done tell stori dark movi show problem mental ill, negative
doc44,bore realli cant understand hype, negative
doc45,wow honestli gotta tell one best movi ive seen year cinematographi thump sadden soundtrack way omg perform joaquin phoenix dark evolv twist wow feel deep bone emot portray jokerjust alon watch hear joker laugh twisti evil could hear sad come mouth could hear hour practic laugh alon method act perfectli point along subtl gestur danc done perfectli joker movi psycholog twist made believ immers movi total shock overwhelm everyth even left cinema mindblownedwhen watch cinema half cinema cheer applaud certain scene almost entir patron stay last credit u look close even joker costum evolv chang time time base journey experienc look final true form look absolut stun excit dialogu told joker heartcrush made felt bad joker first time side evil charact mayb hero movi know honestli u watch one best perform u watch long time movi like deserv watch big screen go find best cinema town enjoy wild ride emot fear anger satisfi, positive
doc46,joaquin phoenix good direct pretti good write absolut aw movi tri hard relev messag throw jumbl mess quasicommentari hope someth stick complet unclear exactli writerdirector todd phillip actual tri say anyth joker hero resist incel go crazi he mental ill peopl mean rich peopl poor peopl horribl joker exactli class commentari also confus robert de niro movi clearli rip taxi driver mani way also littl mr robot thrown there also subplot neighbor incred stupid pointless actual bear stori whatsoev movi also listless bore throughout much movi slowpac without bore interest thing happen drive plot toward conclus thing drive stori movi know he go becom joker point anyth actual happen movi movi also spend like 5 minut make fun littl person clear reason also peopl say movi good job say nicer peopl especi theyr lone mental health issu firstli shouldnt need movi like nice peopl secondli make movi like lonelyment ill person doesnt becom murder sinc mental ill peopl like victim perpetr crime thirdli want movi show need empath crimin movi peopl color victim mass incarcer lock nonviol charg instead movi white male becom mass murder movi terribl, negative
doc47,didnt realli know much movi hadnt seen trailer anyth decid give go stone mate steve actual got ticket differ movi couldnt find screen end screen show joker wasnt til 45 minut realis movi good couldnt understand lot certain actor say realli mumbl low qualiti stori confus hard keep track who there lot scene liter noth happen except peopl talk walk corridor whisper mate steve hour see thought bad fallen asleepth good thing movi act geezer play joker good also funni scene near end movi overli long complex enough action poor direct, negative
doc48,im speechless one favorit movi best joaquin phoenix give one best perform ive ever seen ye think absolut win oscar portray icon charact heath ledger still favorit joker joaquin pretti close level ledger todd phillip phenomen job direct think best work date robert de niro given much screen time take advantag time he given shine costum design makeup great well think nomin major award script incred im go quot lot line day violenc movi even bad compar film amount controversi would like take minut say film medium caus violenc danger film last thirti minut movi absolut insan wont abl forget death scene murray franklin show absolut crazi see come despit fact arthur fleck joker mass murder couldnt help feel bad charact time didnt forgiv thing time sympath realli like progress arthur charact see slowli grow insan second go runtim perfect never felt bore love movi there much want talk, positive
doc49,legendari charact legendari perform actor abl move heath ledger perform movi total worth movi deserv oscar showcas never seen origin joker love, positive
doc50,underwhelm say friendli surpris fact hollywood lost magic looong time ago imho bo dy give damn darth vader childhood joker relationship mother want centuri proper boogeyman overpaid lalalandschmock wont jump stupid prequelexplainsitalltrain plea give u least solid filmmak joker mess stori fine buildup surpris idea load laymanpsycholog make even 12i old roll eye cacophoni le unrel scene cheesi taxidrivermo without impact massiv overact phoenix subtl sinist joker moment except two second elevatorscen know love trailer rate 90 joke heath ledger miss, negative
doc51,act cinematographi music screenplay costum gotham etc everyth 1010oscar worthi performancebi joaquin phoenixamaz direct todd phillip amaz cinematographi lawrenc sher, positive
doc52,what import thing connect charact public deep psycolog interior drama that bring cinecom upper other similar movi joker protagonist youll never forget ill garante human le fiction charact could stori normal man tri surviv mad world there right wrong real normal mad pirandellian concept way that main theme even gotham peopl live seen new dark cynic actual ever view origin movi youll never expect dont spend singl word talk perfect everi technic aspect probabl know yet cours joaquin phoenix legend mayb represent thoma wayn could get littl bit angri passion fan way apart 1010 hope well talk futur brother dark knight, positive
doc53,didnt get hype movi entertain violent movi wasnt nearli good expect doubt act good apart there stori dark depress movi guy who deal bipolar disord kill everyon around includ mother kind neg messag pas societi, negative
doc54,dark depress unsettl film haunt score incred act direct screenplay joaquin kill 5 5 star mental health import guy, positive
doc55,wow movi admit first heard joaquin phoenix go joker surpris wasnt sure go pull hope wasnt go anoth cheesi rendit full fluff unrealist explan joker came one adult son wouldnt keep nudg wake pleasantli surpris well todd phillip version play joaquin act superb could feel anguish charact go right point lost mind excel well act movi almost forget deriv dc comic, positive
doc56,stori realli unconvinc nobodi realli care much random dude ineloqu uninspir joker hype portray movi pain cruel cring see rate better one flew cuckoo nest show way better cruelti sadden, negative
doc57,say satisfi would somewhat mislead joaquin phoenix make feel uncomfort almost entir time couldnt help think christian bale machinist robert de niro taxi driver comparison clearli high prais actingth film slowli build momentum buildsit realli build look tradit comic book action may feel move bit slow pace allow transform feel superfici walk theater wont know exactli feel youll sure want know everyon el feel, negative
doc58,like movi stori 2 hour blah blah nonsens far bore movi 2019 joaquin phoenix overjust want look like depp cours understand stori isol psycholog side make film special deserv score 88 joker laugh shot peopl dark side much better work dark knight rise dark regist gore depress strang film market unit state see prone ideolog marxism joker charact develop charact bore stereotyp contain singl stori cliffhang predict conclud see joker fight batman, negative
